,date,nav,cash,weights
30,2019-02-12,104183.56354333155,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
31,2019-02-13,102995.13720782015,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
32,2019-02-14,102023.93011917325,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
33,2019-02-15,102904.9781012602,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
34,2019-02-18,102279.08702711588,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
35,2019-02-19,102122.90150608776,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
36,2019-02-20,104118.7271629774,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
37,2019-02-21,102892.26062403551,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
38,2019-02-22,103537.84766434776,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
39,2019-02-25,104221.13095401246,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
40,2019-02-26,103839.32397775036,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
41,2019-02-27,102573.82935813275,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
42,2019-02-28,102459.14048374312,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
43,2019-03-01,102563.42668530442,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
44,2019-03-04,102495.71141814518,-2.9103830456733704e-11,"{'PKO': 0.16458196181698487, 'PKN': 0.15832784726793944, 'PZU': 0.12585034013605442, 'PEO': 0.08953258722843976, 'KGH': 0.06583278472679395, 'SPL': 0.06495501426377003, 'LPP': 0.05584814570989686, 'PGE': 0.05102040816326531, 'CDR': 0.05069124423963134, 'CPS': 0.032916392363396975, 'CCC': 0.028198376124643404, 'MBK': 0.027978933508887423, 'ALR': 0.024577572964669742, 'JSW': 0.020517884573184115, 'OPL': 0.017006802721088437, 'TPE': 0.01217906517445688, 'ENG': 0.009984639016897081}"
