date,nav,cash,weights
2020-02-18,99530.42848132913,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-19,97706.00153430838,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-20,98887.18525416811,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-21,98640.21292594101,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-24,95413.11035035964,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-25,93461.84751999658,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-26,92856.60308809261,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-27,89702.7358235278,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-02-28,86311.99964883197,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
2020-03-02,87648.45951787574,1.4551915228366852e-11,"{'PKN': 0.13741794305038516, 'PZU': 0.11944250890580597, 'CDR': 0.09710295343482495, 'PEO': 0.0902931383565643, 'KGH': 0.06634089412439673, 'LPP': 0.06024043466124778, 'CPS': 0.04282995713696688, 'PGE': 0.03392700910126148, 'DNP': 0.03867529063402662, 'MBK': 0.02581466288500916, 'OPL': 0.023876624322845257, 'CCC': 0.013935370391303482, 'ALR': 0.013396370607138521, 'TPE': 0.009424549351824674, 'JSW': 0.0056081688102042, 'MEG': 0.11115909782200446, 'REG': 0.11051502640419052}"
