name,ticker,market,sector
Fundusz Hipoteczny DOM SA,FHD,NEWCONNECT,Finance
FIGENE CAPITAL S.A.,FIG,NEWCONNECT,Commercial services
Fabryka Konstrukcji Drewnianych SA,FKD,NEWCONNECT,Distribution services
Falcon 1 Green World Spolka Akcyjna,FLG,NEWCONNECT,Finance
Wise Energy SA,FMG,GPW,Utilities
FON SE,FON,GPW,Finance
Forever Entertainment SA,FOR,NEWCONNECT,Technology services
Space Fox Games SA Class A,FOX,NEWCONNECT,Technology services
Forposta SA,FPO,NEWCONNECT,Transportation
Forbuild SA Class C,FRB,NEWCONNECT,Industrial services
FREEMIND S.A.,FRM,NEWCONNECT,Technology services
FERRO S.A.,FRO,GPW,Producer manufacturing
Frozen Way S.A.,FRW,NEWCONNECT,Technology services
Fabryki Sprzetu i Narzedzi Gorniczych FASING SA,FSG,GPW,Consumer durables
Fabryki Mebli Forte S.A.,FTE,GPW,Producer manufacturing
Fintech SA,FTH,NEWCONNECT,Finance
FOOTHILLS S.A.,FTL,NEWCONNECT,Communications
Foto Volt Eko Energia SA,FVE,NEWCONNECT,Finance
Galvo SA,GAL,NEWCONNECT,Producer manufacturing
Garin SA,GAR,NEWCONNECT,Consumer durables
Gamedust S.A.,GDC,NEWCONNECT,Technology services
G-DEVS Spolka Akcyjna,GDS,NEWCONNECT,Technology services
GRENEVIA Spolka Akcyjna,GEA,GPW,Producer manufacturing
Genomed S.A.,GEN,NEWCONNECT,Health services
Gamehunters SA,GHT,NEWCONNECT,Technology services
Global Hydrogen Spolka Akcyjna,GHY,NEWCONNECT,Consumer non-durables
Gaming Factory SA,GIF,GPW,Technology services
GI GROUP POLAND S.A.,GIG,GPW,Commercial services
Grupa Kapitalowa IMMOBILE S.A.,GKI,GPW,Industrial services
GKS GieKSa Katowice SA,GKS,NEWCONNECT,Consumer services
Gremi Media SA,GME,NEWCONNECT,Consumer services
Genomtec SA,GMT,GPW,Health technology
Gamivo SA,GMV,NEWCONNECT,Retail trade
Grupa Modne Zakupy S.A.,GMZ,NEWCONNECT,Health technology
G-ENERGY Spolka Akcyjna,GNG,NEWCONNECT,Utilities
Grupa Niewiadow - PGM spolka akcyjna,GNS,NEWCONNECT,Technology services
Gobarto SA,GOB,GPW,Distribution services
Golab SA,GOL,NEWCONNECT,Distribution services
Games Operators SA,GOP,GPW,Technology services
Govena Lighting SA,GOV,NEWCONNECT,Producer manufacturing
Grupa Pracuj spolka akcyjna,GPP,GPW,Commercial services
Gielda Papierow Wartosciowych w Warszawie S.A.,GPW,GPW,Finance
Group Recykl SA,GRC,NEWCONNECT,Process industries
MVA Green Energy S.A.,GRE,NEWCONNECT,Distribution services
Green Lanes SA,GRL,NEWCONNECT,Finance
GREMPCO S.A,GRM,NEWCONNECT,Finance
Grodno SA,GRN,GPW,Distribution services
Green Zebras SA,GRZ,NEWCONNECT,Health technology
Globe Trade Centre S.A.,GTC,GPW,Finance
Go24.pl SA,GTF,NEWCONNECT,Finance
Getin Holding S.A.,GTN,GPW,Finance
Geotrans SA,GTS,NEWCONNECT,Industrial services
genXone Spolka Akcyjna,GX1,NEWCONNECT,Health technology
Przedsiebiorstwo Hydrauliki Silowej HYDROTOR SA,HDR,GPW,Producer manufacturing
Helio SA,HEL,GPW,Consumer non-durables
HyEnergy Spolka Akcyjna,HEN,NEWCONNECT,Commercial services
Highlander Enterprise S.A.,HER,NEWCONNECT,Producer manufacturing
Hemp & Health SA,HMP,NEWCONNECT,Commercial services
Hortico SA,HOR,NEWCONNECT,Distribution services
hiPower Energy spoyka akcyjna,HPE,NEWCONNECT,Retail trade
HIPROMINE S.A.,HPM,NEWCONNECT,Process industries
Hydrapres S.A.,HPS,NEWCONNECT,Producer manufacturing
Grupa HRC Spolka Akcyjna,HRC,NEWCONNECT,Commercial services
Hornigold Reit SA,HRL,NEWCONNECT,Finance
Harper Hygienics S.A.,HRP,GPW,Process industries
Herkules SA,HRS,GPW,Producer manufacturing
Hurtimex S.A.,HRT,NEWCONNECT,Retail trade
Hub.Tech SA,HUB,NEWCONNECT,Process industries
"Huuuge, Inc.",HUG,GPW,Technology services
IBC Polska F&P SA,IBC,NEWCONNECT,Producer manufacturing
WISE FINANCE Spolka Akcyjna,IBS,GPW,Finance
MediNice SA,ICE,GPW,Health technology
ICE CODE GAMES SA,ICG,NEWCONNECT,Technology services
IndygoTech Minerals SA,IDG,GPW,Finance
IDH DEVELOPMENT S.A.,IDH,NEWCONNECT,Technology services
IDM S.A.,IDM,GPW,Finance
INFRA SA,IFA,NEWCONNECT,Technology services
Investment Friends Capital SE,IFC,GPW,Finance
IFIRMA S.A.,IFI,GPW,Technology services
Investment Friends SE,IFR,GPW,Producer manufacturing
Igoria Trade SA,IGT,NEWCONNECT,Technology services
IMC S.A.,IMC,GPW,Process industries
Immersion Games Spolka Akcyjna,IMG,NEWCONNECT,Technology services
IMPERIO Alternatywna Spolka Inwestycyjna Spolka Akcyjna,IMP,GPW,Finance
Intermarum SA,IMR,NEWCONNECT,Technology services
IMS SA,IMS,GPW,Commercial services
INC SA,INC,GPW,Commercial services
ING Bank Slaski S.A.,ING,GPW,Finance
Instal Krakow S.A.,INK,GPW,Industrial services
Introl S.A.,INL,GPW,Industrial services
InventionMed SA,INM,NEWCONNECT,Technology services
INPRO SA,INP,GPW,Consumer durables
Indos SA,INS,NEWCONNECT,Commercial services
Internity S.A.,INT,NEWCONNECT,Distribution services
IPOPEMA Securities S.A.,IPE,GPW,Finance
INTERSPORT Polska S.A.,IPO,GPW,Retail trade
Image Power S.A.,IPW,NEWCONNECT,Technology services
INTER RAO Lietuva AB,IRL,GPW,Utilities
Inside Park SA,ISD,NEWCONNECT,Finance
Interbud-Lublin S.A.,ITB,GPW,Consumer durables
Investeko SA,IVE,NEWCONNECT,Commercial services
Incuvo S.A.,IVO,NEWCONNECT,Technology services
Iron Wolf Studio S.A.,IWS,NEWCONNECT,Technology services
IZOBLOK spolka Akcyjna,IZB,GPW,Process industries
IZOLACJA-JAROCIN SPOLKA AKCYJNA,IZO,GPW,Process industries
Izostal S.A.,IZS,GPW,Non-energy minerals
Jujubee S.A.,JJB,NEWCONNECT,Technology services
JRC Group Spolka Akcyjna,JRC,NEWCONNECT,Consumer durables
JR Holding ASI SA,JRH,GPW,Finance
Jastrzebska Spolka Weglowa S.A.,JSW,GPW,Energy minerals
JWW Invest S.A.,JWW,GPW,Industrial services
Kool2Play SA,K2P,NEWCONNECT,Technology services
KBJ SA,KBJ,NEWCONNECT,Technology services
Klabater S.A.,KBT,NEWCONNECT,Technology services
KRAKCHEMIA S.A.,KCH,GPW,Distribution services
KCI S.A.,KCI,GPW,Producer manufacturing
KDM Shipping Public Ltd.,KDM,GPW,Transportation
Kernel Holding S.A.,KER,GPW,Process industries
KGHM Polska Miedz S.A.,KGH,GPW,Non-energy minerals
KGL SA,KGL,GPW,Process industries
Zespol Elektrocieplowni Wroclawskich KOGENERACJA S.A.,KGN,GPW,Utilities
GRUPA KLEPSYDRA Spolka Akcyjna,KLE,NEWCONNECT,Finance
Kolejkowo SA,KLK,NEWCONNECT,Consumer services
Klon SA,KLN,NEWCONNECT,Non-energy minerals
Kancelaria Medius SA,KME,NEWCONNECT,Commercial services
Kompap S.A.,KMP,GPW,Consumer services
Komputronik S.A.,KOM,GPW,Retail trade
Korbank S.A.,KOR,NEWCONNECT,Communications
Kupiec SA,KPC,NEWCONNECT,Transportation
KPPD SA,KPD,GPW,Producer manufacturing
Kancelaria Prawna - Inkaso WEC S.A.,KPI,NEWCONNECT,Commercial services
Kino Polska TV S.A.,KPL,GPW,Consumer services
Kruk S.A,KRU,GPW,Commercial services
KSG Agro SA,KSG,GPW,Process industries
Grupa Kety SA,KTY,GPW,Non-energy minerals
Kubota SA,KUB,NEWCONNECT,Consumer non-durables
Krynica Vitamin SA,KVT,GPW,Consumer non-durables
Lokaty Budowlane S.A.,LBD,NEWCONNECT,Finance
Libet S.A.,LBT,GPW,Non-energy minerals
Lubawa SA,LBW,GPW,Consumer durables
Labocanna SA,LCN,NEWCONNECT,Commercial services
Legimi SA,LEG,NEWCONNECT,Technology services
Lena Lighting S.A.,LEN,GPW,Producer manufacturing
LESS S.A.,LES,GPW,Producer manufacturing
Letus Capital S.A.,LET,NEWCONNECT,Finance
Logintrade SA Class C,LGT,NEWCONNECT,Commercial services
Lichthund Spolka Akcyjna,LHD,NEWCONNECT,Technology services
Lokum Deweloper SA,LKD,GPW,Consumer durables
Live Motion Games SA,LMG,NEWCONNECT,Technology services
LPP S.A.,LPP,GPW,Retail trade
LARQ S.A.,LRQ,GPW,Commercial services
LSI Software S.A.,LSI,GPW,Technology services
Longterm Games SA,LTM,NEWCONNECT,Technology services
Lentex SA,LTX,GPW,Process industries
LUDUS S.A.,LUD,NEWCONNECT,Finance
LUG S.A.,LUG,NEWCONNECT,Producer manufacturing
Lukardi SA,LUK,NEWCONNECT,Technology services
LUON S.A.,LUO,NEWCONNECT,Producer manufacturing
Lubelski Wegiel BOGDANKA SA,LWB,GPW,Energy minerals
LexBono Spolka Akcyjna,LXB,NEWCONNECT,Commercial services
M4B S.A.,M4B,NEWCONNECT,Producer manufacturing
Mabion SA,MAB,GPW,Health technology
Madkom SA,MAD,NEWCONNECT,Technology services
Makarony Polskie S.A.,MAK,GPW,Consumer non-durables
ManyDev Studio SE,MAN,GPW,Technology services
MAZOP Group Spolka Akcyjna,MAZ,NEWCONNECT,Process industries
MBF Group SA,MBF,NEWCONNECT,Commercial services
mBank SA,MBK,GPW,Finance
Mo-BRUK S.A.,MBR,GPW,Industrial services
Mycodern Spolka Akcyjna,MCD,NEWCONNECT,Producer manufacturing
MCI Capital Alternatywna Spolka Inwestycyjna S.A.,MCI,GPW,Miscellaneous
Mercor SA,MCR,GPW,Producer manufacturing
MedApp SA,MDA,NEWCONNECT,Technology services
Medicofarma Biotech Spolka Akcyjna,MDB,NEWCONNECT,Health technology
Medicalgorithmics SA,MDG,GPW,Health technology
MDI Energia SA,MDI,GPW,Industrial services
MEDCAMP S.A.,MDP,NEWCONNECT,Finance
MedTech Solutions S.A.,MDT,NEWCONNECT,Health technology
MEGARON S.A.,MEG,GPW,Non-energy minerals
Mera S.A.,MER,NEWCONNECT,Non-energy minerals
Mex Polska SA,MEX,GPW,Consumer services
M FOOD S.A.,MFD,NEWCONNECT,Finance
MFO SA,MFO,GPW,Non-energy minerals
Madnetic Games SA,MGS,NEWCONNECT,Technology services
Mangata Holding SA,MGT,GPW,Producer manufacturing
MILITARY GROUP S.A.,MIG,NEWCONNECT,Consumer services
Bank Millennium SA,MIL,GPW,Finance
Miraculum S.A.,MIR,GPW,Retail trade
MakoLab S.A.,MLB,NEWCONNECT,Technology services
MLP Group SA,MLG,GPW,Finance
Milkiland Foods PLC,MLK,GPW,Consumer non-durables
Milisystem S.A.,MLM,NEWCONNECT,Technology services
MILKPOL S.A.,MLP,NEWCONNECT,Process industries
ML System SA,MLS,GPW,Electronic technology
Moonlit S.A.,MLT,NEWCONNECT,Technology services
MM Conferences SA,MMC,NEWCONNECT,Commercial services
